budget	eps	dataset	net	sigma	lb	source	target	poison	epochs_train	sources_train	sources_test	train_loss_clean	val_loss_clean	train_loss_sponge	val_loss_sponge	avg_train_loss_clean	avg_val_loss_clean	avg_train_loss_sponge	avg_val_loss_sponge	avg_cons_clean	avg_cons_sponge	increase_ratio	poisonkey
0.05	16	CIFAR10	VGG16	0.1	1	Several	truck	All	2	2	2	2.281516369508237	2.2886341214179993	1.8401449006430957	2.4582314014434816	2.626310315667366	2.2886341214179993	2.2127590215936	2.4582314014434816	0.70109785	0.7104139	1.0132878	4201485216
0.05	16	CIFAR10	VGG16	0.1	1	Several	dog	All	100	100	100	0.010083165316728458	0.46649396121501924	-0.5631309267209501	0.5350487992167473	0.3277225278619183	0.6672157768905166	-0.12317867288479997	0.7855245363712313	0.66268855	0.7871433	1.1878028	2086456312
